id,artist,birth_date,debut_date,nationality,group_type,introduction,social_media,keywords,img_url,created_at,updated_at
17,John Carroll Kirby (존 캐럴 커비),,2009.0,,솔로 아티스트,"존 캐럴 커비는 미국 로스앤젤레스에서 활동하는 뛰어난 피아니스트이자 키보디스트, 작곡가, 프로듀서예요. 재즈를 기반으로 앰비언트, 일렉트로닉, 뉴에이지, 팝, 펑크 등 다양한 장르를 넘나드는 독특한 음악 세계를 선보여요. 몽환적이고 분위기 있는 사운드, 그루브 넘치는 연주, 그리고 그만의 개성 있는 키보드 사운드가 특징이지요. 솔란지, 프랭크 오션, 해리 스타일스, 노라 존스 등 수많은 유명 아티스트들과 협업하며 넓은 음악적 스펙트럼을 증명해 왔어요. 그의 음악은 듣는 이에게 편안하면서도 깊은 울림을 선사합니다.",https://www.instagram.com/johncarrollkirby/,"재즈,앰비언트,일렉트로닉,뉴에이지,신스팝,피아노,작곡",https://www.stonesthrow.com/wp-content/uploads/2023/10/JCK_DSC_2857_web-scaled.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
18,Creepy Nuts (크리피 너츠),,2010.0,,힙합 그룹,"Creepy Nuts (크리피 너츠)는 R-指定(아루시테이)와 DJ 마츠나가(DJ 松永)로 구성된 일본의 2인조 힙합 유닛이에요. 주로 일본에서 활동하며 독특하고 개성 넘치는 음악을 선보이고 있답니어요. 그들의 음악은 힙합과 랩을 기반으로, DJ 마츠나가의 정교한 DJ 스킬과 R-指定의 뛰어난 랩 실력이 어우러져 있어요. 특히, 애니메이션 '요후카시노 우타'의 주제가 '데이터', '블루록'의 '노비시로' 등 인기 애니메이션 OST로도 유명하고, 최근에는 애니메이션 '마슐' 2기 오프닝 테마곡 'Bling-Bang-Bang-Born'이 전 세계적인 신드롬을 일으키며 큰 사랑을 받고 있어요. 이 곡은 빌보드 글로벌 200 차트 상위권에 오르는 등 국제적인 성공을 거두었답니어요. 그들은 자신들만의 독특한 음악적 색깔로 많은 팬들을 사로잡고 있어요.",,"힙합,랩,J-힙합,DJ,애니메이션 OST",https://img.cdn-cn.jp/img/creatives/artist/creepy_nuts_1000.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
19,toe (토),,2000.0,,음악 그룹,"일본에서 활동하는 4인조 포스트 록 밴드 'toe'이에요. 2000년에 결성되었으며, 야마자키 히로카즈 (기타), 미노 타카아키 (기타), 야마네 사토시 (베이스), 카시쿠라 타카시 (드럼)로 구성되어 있어요. 이들은 포스트 록, 매스 록, 인스트루멘탈 음악을 주로 선보이며, 서정적인 멜로디와 복잡하고 정교한 리듬이 어우러진 독특한 사운드를 자랑합니어요. 보컬 없이도 깊은 감정을 전달하는 연주력이 이들의 큰 특징이지요. 밴드명 'toe'는 특별한 의미를 담기보다는 단어 자체의 간결함과 발음의 재미를 고려하여 지어졌다고 알려져 있어요.",https://www.instagram.com/toe_band/,"포스트 록,매스 록,인스트루멘탈",https://band-in-a-box.net/wp-content/uploads/2023/07/toe_band_main.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
20,JORDANN (조던),,2018.0,,싱어송라이터,"JORDANN (조던)은 프랑스 파리에서 활동하는 싱어송라이터이에요. 그는 2018년부터 음악 활동을 시작했으며, 몽환적이고 감성적인 사운드를 특징으로 하는 인디 팝, 드림 팝 음악을 선보이고 있어요. 신스 팝과 얼터너티브 팝 요소가 섞인 그의 음악은 종종 프랑스어 가사를 사용하여 더욱 독특한 분위기를 자아냅니어요. 듣는 이들에게 아련하고 서정적인 감성을 전달하며 많은 사랑을 받고 있어요.",https://www.instagram.com/jordannmusique/,"인디 팝,드림 팝,신스 팝,얼터너티브 팝,프렌치 팝",https://image.bugsm.co.kr/artist/images/800/artist/images/8013/801362_L_1656578052163.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
21,NEMOPHILA (네모필라),,2020.0,,록 밴드,"NEMOPHILA는 2019년 결성된 일본의 5인조 올-여성 헤비메탈 밴드이에요. 보컬 Mayu, 기타 SAKI, 기타 Hazuki, 베이스 Haraguchisan, 드럼 Tamu로 구성되어 있어요. 이들은 파워풀한 보컬과 역동적인 연주, 그리고 멤버들의 뛰어난 실력으로 전 세계 록 팬들의 주목을 받고 있답니어요. 특히 라이브 퍼포먼스가 매우 인상적이며, 일본뿐만 아니라 해외에서도 활발하게 활동하며 자신들만의 독특한 음악 세계를 구축하고 있어요. 밴드 이름인 '네모필라'는 꽃 이름에서 따왔다고 합니어요.",https://www.instagram.com/nemophila.official/,"헤비메탈,하드록,여성 밴드,일본 록",https://nemophila.jp/wp-content/uploads/2023/11/nemophila_artist_photo_01-scaled.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
22,CHANMINA (챤미나),,2017.0,,,"CHANMINA (챤미나)는 주로 일본에서 활동하는 실력파 래퍼, 가수, 송라이터이에요. 본명은 오오바나 마리나이며, 한국어, 영어, 일본어 3개 국어를 유창하게 구사하여 이를 음악에 녹여내는 것이 특징이에요. 힙합, R&B, 팝 등 다양한 장르를 넘나들며, 솔직하고 대담한 가사와 압도적인 라이브 퍼포먼스로 많은 팬들을 사로잡고 있어요. 어린 시절부터 발레, 피아노 등을 배우며 음악적 기반을 다졌고, 고등학생 시절 TV 프로그램 '고교생 RAP 선수권'에 출연하며 이름을 알리기 시작했어요. 자기 자신을 사랑하고 사회를 비판하는 메시지를 담은 곡들을 통해 자신만의 독특한 음악 세계를 구축해나가고 있어요.",https://www.instagram.com/chanmina_official/,"힙합,R&B,팝,래퍼,송라이터,파워풀,솔직한 가사,3개국어",https://wmg.jp/wmg_jp/wp-content/uploads/2023/10/chanmina_20231018_01.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
23,DEPAPEKO (데파페코),,2017.0,,음악가,"DEPAPEKO (데파페코)는 일본을 중심으로 활동하는 어쿠스틱 기타 듀오이에요. 데파페페(DEPAPEPE)의 토쿠오카 요시나리 씨와 곤치치(GONTITI)의 쿠와타 곤자 씨, 이렇게 두 분의 일본 어쿠스틱 기타 거장들이 만나 결성한 프로젝트 유닛이에요. 주로 아름다운 멜로디와 섬세한 핑거스타일 연주가 돋보이는 연주곡을 선보이고 있어요. 'DEPA'는 토쿠오카 씨의 '데파'에서, 'PEKO'는 쿠와타 씨의 애칭 '페코'에서 따온 이름이라고 해요. 2017년에 유닛을 결성하여 깊이 있고 독창적인 어쿠스틱 사운드로 많은 사랑을 받고 있답니어요.",,"어쿠스틱,기타,핑거스타일,연주곡,듀오,일본",https://www.sonymusic.co.jp/img/common/artist_image/200021/200021_main_artist_detail.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
24,toconoma (토코노마),,2010.0,,인스트루멘탈 밴드,"toconoma는 일본 오사카를 기반으로 활동하는 4인조 인스트루멘탈 밴드예요. 멤버는 시모다 유타(기타), 제이(베이스), 이시(드럼), 칸노 코스케(피아노/키보드)로 구성되어 있어요. 이들은 재즈, 펑크, 록 등 다양한 장르를 융합하여 독특하고 그루브 넘치는 사운드를 만들어냅니어요. 특히 보컬 없이 연주만으로 에너지를 전달하며, 듣는 이들을 춤추게 만드는 댄서블한 음악이 특징이에요. 듣기 편안하면서도 역동적인 분위기를 동시에 선사하며 많은 사랑을 받고 있어요.",https://www.instagram.com/toconoma/,"인스트루멘탈,재즈 펑크,댄스 뮤직,퓨전 재즈,그루브",https://toconoma.com/wp-content/uploads/2021/04/artist_top.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
25,JAKE MILLER (제이크 밀러),,2011.0,,솔로 아티스트,"미국 플로리다 출신의 래퍼이자 싱어송라이터 제이크 밀러는 힙합, 팝, R&B 등 다양한 장르를 넘나들며 활동하는 아티스트이에요. 감성적인 멜로디와 솔직하고 진솔한 가사가 특징이며, 주로 젊은 세대의 공감을 얻는 이야기를 음악에 담아냅니어요. 직접 곡을 쓰고 프로듀싱하는 능력도 뛰어나며, 에너지 넘치는 무대 매너로 팬들에게 사랑받고 있어요. 팬들과의 소통을 매우 중요하게 생각하는 편이에요.",https://www.instagram.com/jakemiller/,"힙합,팝,R&B,싱어송라이터",https://i.scdn.co/image/ab6761610000e5ebf8670b86a87c10b27137f81f,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
26,Tom Grennan (톰 그래넌),,2016.0,,솔로 가수,"톰 그래넌은 영국 출신의 싱어송라이터이에요. 그의 음악은 인디 팝, 소울, 얼터너티브 록 장르를 넘나들며, 특히 거칠면서도 감성적인 목소리가 큰 특징이에요. 진솔한 가사와 솔직한 음악적 표현으로 많은 팬들에게 사랑받고 있답니어요. 개인적인 경험과 감정을 담은 가사로 깊은 공감을 얻고 있어요.",https://www.instagram.com/tomgrennan/,"인디 팝,소울,얼터너티브 록,감성적인 보컬",https://i.scdn.co/image/ab6761610000e5ebc1f72922659d57a9f8f4a132,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
27,MUSE (뮤즈),,1999.0,,밴드,"MUSE는 1994년 영국 데본주 틴머스에서 결성된 세계적인 록 밴드예요. 매튜 벨라미(리드 보컬, 기타, 피아노), 크리스 볼첸홈(베이스, 백 보컬), 도미닉 하워드(드럼, 퍼커션) 세 명의 멤버로 구성되어 있어요. 고등학교 시절부터 함께 음악 활동을 시작했으며, 1999년 첫 정규 앨범 'Showbiz'를 발매하며 전 세계 음악 팬들에게 이름을 알리기 시작했답니어요. 밴드 이름 'MUSE'는 멤버들이 짧고 강렬한 이름을 찾던 중 선택했다고 알려져 있어요. 때로는 음악적 영감을 뜻하는 '뮤즈'처럼 팬들에게 영감을 주는 존재로 불리기도 한답니어요. 얼터너티브 록, 프로그레시브 록, 스페이스 록 등 다양한 장르를 넘나들며 웅장하고 드라마틱한 사운드를 특징으로 하고 있어요. 매튜 벨라미의 독특하고 강력한 보컬, 복잡하면서도 서사적인 곡 구성, 그리고 압도적인 라이브 퍼포먼스는 MUSE만의 시그니처라고 할 수 있어요. 그래미 어워드를 포함한 여러 권위 있는 상을 수상하며 음악적 역량을 인정받았고, SF적인 세계관이나 사회적 메시지를 담은 가사로도 깊은 인상을 남기고 있어요.",https://www.instagram.com/muse/,"록,얼터너티브,프로그레시브,웅장한 사운드,드라마틱",https://www.muse.mu/sites/g/files/g2000007801/files/2023-01/muse_band_promo_2023_01_16_0.jpeg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
28,Ryokuoushoku Shakai (녹황색사회),,2013.0,,밴드,"Ryokuoushoku Shakai (녹황색사회)는 일본에서 활발하게 활동하는 4인조 혼성 밴드이에요. J-POP을 기반으로 록, 팝, 얼터너티브 록 등 다채로운 장르를 선보이고 있어요. 청량하면서도 에너제틱한 사운드가 특징이며, 보컬 나가야 하루코 님의 시원하고 매력적인 가창력이 돋보이에요. 그룹명 '녹황색사회'는 보컬 나가야 하루코 님이 녹황색 채소를 싫어한다는 이야기에서 멤버 코바야시 잇세이 님이 장난스럽게 제안하며 지어졌다고 해요. 다양한 색깔의 채소처럼 다채로운 음악을 보여주겠다는 의미도 담겨있어요. 멤버 구성은 나가야 하루코 (보컬, 기타), 코바야시 잇세이 (기타, 코러스), peppe (키보드, 코러스), 아나미 신고 (베이스, 코러스) 님으로 이루어져 있어요. 2012년에 결성되어 2013년 첫 미니 앨범을 발매하며 음악 활동을 시작했으며, 매력적인 멜로디와 희망적인 가사로 젊은 세대의 공감을 얻으며 일본 내에서 꾸준히 사랑받고 있어요. 애니메이션 주제곡 등으로도 활발히 활동하며 대중적인 인기를 얻고 있어요.",https://www.instagram.com/ryokuoshoku_shakai/,"J-POP,록,팝,얼터너티브 록,청량,희망적,밴드",https://www.sonymusic.co.jp/img/common/artist_image/20000/20078/artist_photo_1740x979.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
29,Mei Semones (메이 시몬스),,2023.0,,싱어송라이터,"메이 시몬스는 뉴욕을 기반으로 활동하는 미국의 싱어송라이터예요. 그녀의 음악은 인디 팝과 베드룸 팝 장르에 재즈적인 영향을 섬세하게 녹여낸 것이 특징이에요. 부드럽고 몽환적인 사운드와 함께 내성적이고 위트 있는 가사가 돋보이지요. 뉴잉글랜드 음악원에서 재즈를 공부한 배경을 바탕으로, 2023년 첫 EP 'Rana'를 발매하며 대중과 평단의 주목을 받기 시작했어요. 복잡하면서도 섬세한 편곡과 특유의 부드러운 보컬이 그녀만의 독특한 음악 세계를 만들어냅니어요.",https://www.instagram.com/meisemones/,"인디 팝,베드룸 팝,재즈 팝,싱어송라이터",https://i.scdn.co/image/ab6761610000e5eb98f802119ef00dd51147575e,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
30,ASCA (아스카),,2017.0,,솔로 가수,"ASCA는 일본에서 활동하는 솔로 가수이에요. 주로 J-POP, 애니메이션 음악(애니송), 록 장르의 곡들을 선보이며, 강렬하면서도 청량한 보컬이 특징이에요. 그녀의 본명 아스카에서 따온 예명 'ASCA'로 활동하고 있어요. 2011년 애니송 그랑프리에 참가한 이력을 가지고 있으며, 2017년 'KOE'로 메이저 데뷔를 했어요. '소드 아트 온라인', '다윈즈 게임' 등 인기 애니메이션의 주제가를 많이 불렀으며, 시원한 고음과 폭발적인 가창력으로 많은 팬들에게 사랑받고 있어요.",https://www.instagram.com/asca_jp/,"J-POP,애니송,록,강렬한 보컬,고음",https://www.asca-official.com/assets/img/ogp.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
31,Jacky Cheung (장학우),,1985.0,,솔로 가수,"장학우는 홍콩을 대표하는 세계적인 가수로, 중화권 전역에서 엄청난 사랑을 받고 있어요. 주로 캔토팝과 만다린 팝, 그리고 감성적인 발라드 장르의 음악을 선보이며, '노래의 신(歌神)'이라는 별명으로 불릴 만큼 독보적인 가창력과 표현력을 자랑합니어요. 그의 음악은 깊은 감동과 진정성을 담고 있어 오랫동안 많은 사람들의 마음을 사로잡고 있어요.",,"캔토팝,만다린 팝,발라드,팝",https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/a4/c8/16/a4c8166c-17e0-c837-1478-f73940c6a832/UMG_BG_000000305898_RGB.jpg/1200x1200bb.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
32,SCANDAL (스캔들),,2008.0,,음악 그룹,"SCANDAL (스캔들)은 주로 일본에서 활동하는 4인조 걸즈 록 밴드이에요. 보컬 겸 기타의 HARUNA, 기타 겸 보컬의 MAMI, 베이스 겸 보컬의 TOMOMI, 드럼 겸 보컬의 RINA로 구성되어 있어요. 이들은 경쾌하고 밝은 팝 록 사운드를 기반으로 에너제틱한 록 음악을 선보이에요. 밴드 이름은 결성 당시 멤버들이 자주 가던 의류 매장의 이름에서 따왔다고 알려져 있어요. 2006년 오사카의 보컬 댄스 스쿨에서 만나 결성된 후 인디 활동을 거쳐 2008년에 메이저 데뷔했어요. 모든 멤버가 작사, 작곡에 참여하고 곡에 따라 보컬을 나눠 부르며 자신들만의 음악적 색깔을 확고히 하고 있어요. 독특하고 중독성 있는 멜로디와 라이브 퍼포먼스로 일본은 물론 해외에서도 꾸준히 사랑받으며 여러 차례 월드 투어를 성공적으로 진행했어요.",https://www.instagram.com/scandal_band_official/,"J-록,팝 록,걸즈 밴드,팝 펑크,에너제틱",https://www.scandal-4.com/wp-content/uploads/2023/12/SCANDAL-2023_TOP-scaled.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
33,Elijah Woods (엘리야 우즈),,2018.0,,솔로 아티스트,"엘리야 우즈는 캐나다 출신의 싱어송라이터이에요. 주로 인디 팝, 얼터너티브 팝, 신스 팝 장르의 음악을 선보이고 있어요. 섬세한 감성과 중독성 있는 멜로디가 그의 음악의 특징이랍니어요. 2018년 첫 EP 'First Light'를 발매하며 활동을 시작했어요. 그는 자신의 이름으로 활동하는 솔로 아티스트이에요.",https://www.instagram.com/elijahwoods/,"팝,인디 팝,얼터너티브 팝,신스 팝,싱어송라이터",https://i.scdn.co/image/ab6761610000e5ebf87766ff7c929a5f573c9f28,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
34,Daoko (다오코),,2012.0,,여성 솔로 아티스트,"Daoko (다오코) 님은 일본에서 활발하게 활동하고 있는 여성 솔로 아티스트이에요. 힙합을 기반으로 팝, 일렉트로니카, 록 등 다양한 장르를 넘나들며 자신만의 독특한 음악 세계를 선보이고 있어요. 랩과 보컬을 자유롭게 오가며 몽환적이고 실험적인 사운드를 들려주는 것이 특징이에요. 2012년부터 니코니코 동화에서 활동을 시작하며 주목받았고, 이후 자신만의 음악을 직접 만들고 부르며 팬들에게 사랑받기 시작했어요. 특히 영화 '쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?'의 주제가 '쏘아올린 불꽃' (DAOKO × 요네즈 켄시)으로 큰 인기를 얻으며 대중적인 성공을 거두었어요. 몽환적인 비주얼과 감성적인 가사, 그리고 아트워크에도 참여하는 등 다재다능한 면모를 보여주고 있어요.",https://www.instagram.com/daoko_official/,"힙합,팝,일렉트로니카,랩,몽환적",https://daoko.jp/img/artist_daoko.png,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
35,Minami (미나미),,2019.0,,싱어송라이터,"미나미는 일본에서 활발하게 활동하고 있는 여성 싱어송라이터이에요. 주로 록, 팝, 발라드 등 다양한 장르를 넘나들며, 감성적이면서도 파워풀한 보컬이 큰 특징이에요. 때로는 강렬하고 폭발적인, 때로는 섬세하고 부드러운 목소리로 음악 팬들의 마음을 사로잡고 있어요. 2017년부터 유튜브에 자작곡을 올리며 이름을 알리기 시작했고요, 특히 2019년 애니메이션 '카케구루이 XX'의 오프닝 테마곡 '渇きをあめく (Kawaki wo Ameku)'를 통해 정식 데뷔하며 대중적인 인지도를 얻었어요. 직접 작사, 작곡에 참여하여 자신만의 독특한 세계관과 솔직하고 직설적인 메시지를 음악에 담아내고 있어요.",https://www.instagram.com/373official/,"J-POP,록,팝,싱어송라이터,애니메이션 OST",https://minami-official.com/wp-content/uploads/2024/03/Minami_Profile_202403-1024x683.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
